Title,Year,Rating,Votes
To Be or Not to Be,1942,8.024671061,36187
The Battle of Algiers,1966,8.023014927,59259
Rebecca,1940,8.022978011,135365
The Grapes of Wrath,1940,8.02241099,91862
Hachi: A Dog's Tale,2009,8.021767707,278480
Cool Hand Luke,1967,8.021670315,174822
Amores perros,2000,8.021084352,237575
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.017937476,1092150
The 400 Blows,1959,8.016409259,115829
La Haine,1995,8.015984261,168857
Persona,1966,8.01593486,115984
Dersu Uzala,1975,8.015930284,28487
My Father and My Son,2005,8.015559226,85776
Life of Brian,1979,8.015103787,393554
The Sound of Music,1965,8.013810873,227418
It Happened One Night,1934,8.013617096,102499
The Handmaiden,2016,8.009193695,139452
Aladdin,1992,8.007098476,404903
Gandhi,1982,8.00703965,228460
The Help,2011,8.004858202,450855
Beauty and the Beast,1991,8.003471818,443886
Dances with Wolves,1990,8.001728203,260992
